id,pn_coh
0405190,-0.1183
0405320,0.1176
0405460,0.0176
0405530,-0.0925
0405670,0.0992
0405820,-0.0253
0405880,-0.0392
0405930,0.0380
0405980,-0.0036
0406070,0.0429
0406210,-0.0622
0406250,0.0396
0406300,0.1507
0406580,0.0153
0406730,0.0103
0406810,-0.0248
0407080,-0.0985
0407130,0.0628
0407170,-0.0285
0407240,-0.0015
0407300,-0.0147
0407520,-0.0763
0407570,0.0042
0407700,0.0237
0407750,-0.0093
0407820,0.0262
0407890,-0.0588
0408170,0.0750
0408280,0.0075
0408310,-0.0037
0408410,0.0652
0408490,0.0060
0408550,-0.0599
0408800,0.0282
0408820,-0.1163
0408850,0.0126
0409060,0.0059
0409190,0.0313
0409250,-0.0379
0409600,0.0437
0409733,-0.0232
0500001,0.0149
0500006,0.0328
0500009,0.0388
0500012,0.0055
0500015,0.0474
0500017,0.0402
0500019,-0.0620
0500023,0.0037
0500026,0.0658
0500028,0.0154
0500029,0.0598
0500043,0.0147
0500044,-0.0490
0500045,0.0296
0500046,0.0222
0500047,-0.0077
0500049,-0.0559
0500067,-0.0281
0500068,0.0660
0500082,-0.0692
0502250,0.0268
0502430,0.0627
0502580,-0.0862
0502610,-0.0129
0502700,-0.0712
0502790,-0.0361
0502880,-0.0069
0502960,-0.0036
0503030,0.0153
0503060,0.0505
0503090,-0.0484
0503150,0.0421
0503240,-0.0121
0503450,-0.0162
0503640,0.0624
0503690,0.0006
0503710,-0.0457
0503750,-0.0108
0504020,-0.0070
0504050,0.0245
0504110,0.0025
0504200,-0.0326
0504380,0.0189
0504410,0.0091
0504590,0.0191
0504800,-0.0590
0504930,-0.0360
0505430,-0.0013
0505500,-0.0553
0505680,-0.0696
0505760,-0.1033
0506060,0.0027
0506090,0.0226
0506120,0.0237
0506330,-0.0417
0506360,-0.0426
0506420,0.0253
0506540,-0.0443
0506630,-0.1119
0506690,-0.0339
0506840,0.0135
0506900,0.0408
0506930,-0.0234
0506990,-0.0089
0507290,0.0301
0507320,-0.0134
0507380,0.0079
0507560,-0.0378
0507770,-0.0091
0507840,0.0293
0507890,-0.1244
0508130,-0.0241
0508280,0.0166
0508400,0.0185
0508610,-0.0064
0508670,0.0346
0508700,-0.0464
0508730,-0.0037
0508940,0.0225
0509000,-0.1066
0509060,-0.0096
0509190,-0.0333
0509240,0.0064
0509330,-0.0316
0509390,-0.0609
0509540,-0.0241
0509630,-0.0928
0509720,0.0103
0509750,-0.0349
0509840,-0.0260
0510200,-0.0092
0510380,-0.0845
0510440,-0.0108
0510680,-0.0693
0511010,0.0250
0511070,0.0239
0511130,0.0667
0511340,0.0882
0511370,-0.0817
0511610,0.0464
0511700,0.0373
0511760,-0.0008
0511850,0.0332
0511880,0.0536
0511970,-0.0168
0512000,-0.0140
0512060,-0.0207
0512210,0.0646
0512450,-0.0058
0512510,-0.0597
0512520,0.0188
0512540,0.0425
0512660,-0.0313
0512960,0.0085
0513080,-0.0036
0513110,-0.0229
0513230,-0.0080
0513350,0.0733
0513380,0.0122
0513410,-0.0068
0513530,0.0392
0513680,-0.0023
0513930,-0.0760
0514010,-0.0273
0514140,-0.0218
0514430,-0.0509
0600001,0.0328
0600006,0.0354
0600013,-0.0084
0600014,0.0237
0600015,0.0747
0600016,0.0075
0600017,0.0498
0600019,0.1151
0600020,-0.0118
0600026,-0.0197
0600027,0.1089
0600028,0.0133
0600029,0.0172
0600032,0.0531
0600034,0.0307
0600036,0.0517
0600039,-0.0315
0600043,0.0782
0600044,0.0011
0600045,-0.0047
0600046,0.0039
0600047,0.0228
0600048,0.0390
0600051,-0.0713
0600052,-0.0180
0600060,-0.0073
0600061,0.0122
0600062,0.0404
0600063,0.1005
0600064,0.0592
0600065,-0.0183
0600068,0.0053
0600069,-0.0336
0600153,0.1056
0600158,0.0024
0600160,0.0596
0601332,0.0453
0601410,0.0307
