id,np_grd
0625230,0.8632
0625320,1.0541
0625470,0.8568
0625500,1.3254
0625530,0.9443
0625690,0.9925
0625740,1.0092
0625770,1.1397
0625800,0.9360
0625830,1.0083
0625860,1.0364
0625980,1.0209
0626040,1.1368
0626100,1.1736
0626190,1.0006
0626220,0.7902
0626280,1.0326
0626370,0.9397
0626400,0.9096
0626490,0.9668
0626640,0.9641
0626760,1.0936
0626820,1.0577
0626910,0.9233
0627030,0.9190
0627060,1.1059
0627120,1.1356
0627180,1.1688
0627200,0.8795
0627240,0.9548
0627450,1.0087
0627480,1.1048
0627510,1.1307
0627590,0.9693
0627690,0.8331
0627720,0.9410
0627780,0.8934
0627810,1.0036
0627840,0.8434
0627850,1.0343
0627930,1.0789
0628050,0.9836
0628080,0.8486
0628140,1.1251
0628170,1.0156
0628250,1.0571
0628270,0.9474
0628320,1.1593
0628470,0.8942
0628650,1.0080
0628680,1.2895
0628710,1.0575
0628860,1.0105
0628950,0.7135
0629100,0.9345
0629220,0.9045
0629270,1.2503
0629280,0.8473
0629370,1.1191
0629430,1.1749
0629490,1.0361
0629540,0.9014
0629550,0.8764
0629580,0.9313
0629610,1.3208
0629640,0.8067
0629700,0.9812
0629820,0.9935
0629850,0.9315
0629940,0.8568
0630030,0.8102
0630180,1.0492
0630230,1.1471
0630250,1.3289
0630330,1.1754
0630360,0.9504
0630450,1.0044
0630480,0.9450
0630510,0.9798
0630600,0.9079
0630660,1.0948
0630720,1.1669
0630780,0.9698
0630930,1.0613
0630960,1.0227
0630990,1.0569
0631170,0.9242
0631180,0.9104
0631290,0.8777
0631320,0.8112
0631470,1.2099
0631530,1.0446
0631710,0.9572
0631740,1.0130
0631860,1.0707
0631980,0.7540
0632040,1.0758
0632070,1.0277
0632130,0.8842
0632160,1.0666
0632310,1.0850
0632370,0.9671
0632520,0.9351
0632550,0.8580
0632610,0.8126
0632640,0.8709
0632710,0.9984
0632760,0.8946
0632880,1.0875
0633110,0.8606
0633150,1.0197
0633390,0.9233
