id,p_coh
13125,0.1428
13127,0.0375
13129,0.0517
13131,0.0792
13133,0.1291
13135,0.0477
13137,0.0903
13139,0.0491
13141,-0.0702
13143,0.1409
13145,0.0793
13147,-0.0088
13149,0.1661
13151,0.0108
13153,0.0026
13155,-0.0122
13157,0.0050
13159,-0.0125
13161,0.0283
13163,-0.0472
13165,-0.0595
13167,-0.0221
13169,0.0717
13171,0.0151
13173,0.0334
13175,-0.0552
13177,0.0962
13179,0.0104
13181,0.0054
13183,0.0280
13185,0.0733
13187,0.1025
13189,0.0300
13191,0.0931
13193,-0.0675
13195,0.1228
13197,0.0796
13199,-0.0517
13201,0.0390
13205,0.0388
13207,0.0195
13209,-0.0346
13211,-0.0455
13213,-0.0028
13215,0.0034
13217,0.0746
13219,0.0296
13221,0.0603
13223,0.0739
13225,0.0652
13227,-0.0682
13229,0.0243
13231,0.0122
13233,0.0790
13235,0.0983
13237,0.0476
13239,-0.0479
13241,0.0445
13243,-0.0778
13245,0.0516
13247,0.0271
13249,0.0905
13251,-0.0510
13253,0.1370
13255,0.0392
13257,0.0516
13259,0.0127
13261,-0.0763
13263,0.0533
13267,0.1315
13269,0.0472
13271,0.0787
13273,-0.0893
13275,0.1250
13277,0.0979
13279,0.0246
13281,0.0315
13283,0.0665
13285,0.0325
13287,0.0510
13289,0.0748
13291,0.1219
13293,0.0915
13295,0.0009
13297,0.0716
13299,0.1847
13301,0.0233
13303,-0.0487
13305,0.1033
13307,0.0859
13309,0.1296
13311,0.0200
13313,0.0203
13315,0.1011
13317,0.1334
13319,0.0251
13321,0.0329
15003,0.0472
16001,0.0504
16005,0.0318
16007,-0.0259
16009,-0.0717
16011,-0.0616
16013,0.0184
16015,-0.0091
16017,-0.0485
16019,-0.0168
16021,-0.0033
16027,-0.0138
16029,-0.0306
16031,-0.0570
16035,0.0359
16039,0.0070
16041,0.0425
16043,-0.0077
16045,-0.1253
16047,-0.0721
16049,-0.0201
16051,-0.0586
16053,-0.0762
16055,0.0226
16057,-0.0117
16059,-0.0769
16061,0.0178
16063,0.1564
16065,-0.0550
16067,0.1176
16069,-0.0427
16071,-0.1225
16073,-0.0545
16075,-0.0545
16077,-0.0247
16079,0.0483
16081,0.0054
16083,-0.0276
16085,0.0725
16087,0.0210
17001,-0.0439
17003,-0.0313
17005,-0.0112
17007,-0.0195
17009,0.0606
17011,0.0034
17015,0.0456
17017,-0.0656
17019,-0.1033
17021,-0.0754
17023,-0.0334
17025,-0.1558
17027,0.0341
17029,-0.1044
17031,0.0813
17033,0.0449
17035,-0.1757
17037,0.0253
17039,-0.0892
17041,-0.0587
17043,0.0587
17045,-0.0384
17047,0.0175
17049,-0.0150
17051,0.0081
17053,0.0873
17055,-0.0438
17057,-0.0467
17059,0.0051
17061,-0.0003
17063,0.0012
17065,0.0343
17067,0.0341
17069,-0.0063
17071,-0.0692
17073,0.0141
17075,0.0133
17077,0.0019
17079,-0.1254
17081,0.0533
17083,0.0503
17085,0.0082
17087,-0.0803
17089,0.0380
17091,-0.0504
17093,0.1016
17095,-0.1316
17097,0.0141
17099,-0.0239
17101,-0.0737
17103,-0.0110
17105,-0.0898
17107,-0.0347
17109,-0.0901
17111,0.0720
17113,-0.0465
17115,-0.1047
17117,0.0444
17119,-0.0344
17121,0.0267
17123,-0.0714
17125,-0.0349
17127,0.0533
17129,-0.0387
17131,0.0129
17133,0.0888
17135,-0.0011
17137,0.0026
17139,-0.0126
17141,-0.0408
17143,-0.0794
17145,0.0504
17147,-0.0098
17149,-0.0248
17151,0.0600
17153,-0.0573
17155,-0.0877
17157,0.0196
17159,-0.0760
17161,-0.0534
17163,-0.0853
17165,-0.0394
17167,0.0249
17169,-0.0064
17171,0.0251
17173,-0.0345
17175,-0.0050
17177,-0.0923
17179,-0.0028
17181,0.0015
17183,-0.0165
17185,-0.0553
17187,-0.0124
17189,-0.0235
17191,-0.1256
17193,-0.0110
17195,-0.0670
17197,0.0521
17199,0.0169
17201,0.0313
17203,-0.0080
18001,0.0518
18003,0.0999
18005,0.1469
18007,0.0651
18009,0.1751
18011,0.0508
18013,0.0688
18015,0.0758
18017,0.0672
18019,0.0849
18021,0.1381
18023,0.0430
18025,0.1445
18027,0.0359
18029,0.0817
18031,0.0862
18033,0.0437
18035,0.1076
18037,0.1103
18039,0.1375
18041,0.0576
18043,0.1091
18045,0.0717
18047,0.0653
18049,-0.0151
18051,0.0299
18053,0.0647
18055,0.1128
18057,0.0200
18059,0.0846
18061,0.1558
18063,0.1398
18065,0.0753
18067,-0.0339
18069,0.0783
18071,0.0367
18073,0.0828
18075,0.1423
18077,-0.0118
18079,0.1427
18081,0.1044
18083,0.1221
18085,0.0819
18087,0.0468
18089,0.0649
18091,0.0837
18093,0.0461
18095,0.1164
18097,0.0514
18099,0.0684
18101,0.0843
18103,0.0526
18105,0.1077
18107,0.0685
18109,0.0901
18111,0.0150
18113,0.0953
18115,-0.0447
18117,-0.0041
18119,0.0911
18121,-0.0050
18123,0.1437
18125,-0.0554
18127,0.0391
18129,0.0865
18131,0.0823
18133,0.0808
18135,0.1157
18137,0.1343
18139,0.1027
18141,0.0552
18143,0.1715
18145,0.1161
18147,0.0942
18149,0.0103
18151,0.1277
18153,0.1521
18155,0.0410
18157,0.1327
18159,0.0503
18161,0.1137
18163,0.1150
18165,0.1701
18167,0.0858
18169,0.0594
18171,0.1718
18173,0.1469
18175,0.0678
18177,0.0854
18179,0.0692
18181,0.1120
18183,0.0474
19001,-0.0537
19005,0.0153
19007,0.0607
19011,0.1293
19013,0.0667
19015,0.0422
19017,0.0854
19019,0.1346
19021,0.0656
19023,0.0498
19025,0.0449
19027,0.0408
19029,0.0616
19031,-0.0080
19033,0.0192
19035,0.0397
19037,-0.0088
19039,-0.0129
19041,0.1002
19043,0.0665
19045,0.0774
19047,0.0730
19049,0.0737
19051,-0.0806
19053,0.0271
19055,0.1018
19057,0.0157
19059,-0.0110
19061,-0.0479
19063,-0.0426
19065,0.0167
19067,-0.0777
19069,0.0366
19071,0.0344
19073,-0.0932
19075,0.0579
19077,0.1191
19079,0.0089
19081,0.0448
19083,0.0399
19085,0.0086
19087,0.0621
19089,-0.0098
19091,0.0001
19093,0.0527
19095,-0.0353
19097,0.0050
19099,0.1290
19101,0.0119
19103,0.0262
19105,-0.0291
19107,0.0195
19109,0.0381
19111,0.0015
19113,0.0039
19115,0.0575
19117,-0.0495
19119,-0.0141
19121,0.0954
19123,-0.0741
19125,-0.0174
19127,0.0859
19129,0.0828
19131,0.0205
19133,0.0042
19135,0.0326
19137,0.0429
19139,-0.0986
19141,0.0285
19143,0.1204
19145,0.0964
19147,-0.0085
19149,0.0966
19151,0.0136
19153,0.0505
19155,0.0094
19157,0.0689
19159,0.0158
19161,0.0523
19163,0.0203
19165,-0.0532
19167,-0.0302
19169,0.0818
19171,0.1069
19173,0.0733
19175,0.0220
19177,0.0047
19179,0.0284
19181,0.0864
