id,mf_coh
0402370,0.0140
0402400,-0.0295
0402430,-0.0033
0402530,0.0366
0402690,0.0161
0402790,-0.0544
0402860,0.0515
0402920,0.0153
0403010,0.0150
0403040,-0.0261
0403060,-0.0234
0403150,-0.0130
0403240,-0.0343
0403290,0.0115
0403400,0.0036
0403420,-0.0122
0403500,-0.0600
0403780,0.0056
0403820,-0.0473
0403870,0.0070
0403950,-0.0478
0403960,0.0145
0403990,-0.0514
0404060,-0.0134
0404230,-0.0139
0404280,-0.0195
0404290,-0.0102
0404320,-0.0030
0404380,0.0237
0404440,-0.0117
0404500,0.0099
0404570,-0.0264
0404630,-0.0120
0404720,0.0159
0404770,0.0353
0404970,-0.0093
0405030,0.0309
0405190,0.0246
0405320,0.0071
0405400,-0.0319
0405460,0.0091
0405530,-0.0585
0405640,-0.0431
0405670,-0.0288
0405820,-0.0247
0405850,-0.0296
0405880,-0.0135
0405930,0.0126
0405980,-0.0599
0406070,0.0423
0406210,-0.0131
0406250,0.0159
0406300,-0.0087
0406440,0.0164
0406580,0.0138
0406730,0.0048
0406740,-0.0207
0406810,0.0232
0406870,-0.0317
0406960,-0.0053
0407020,-0.0105
0407080,-0.0042
0407130,-0.0323
0407170,0.0293
0407200,0.0140
0407240,-0.0479
0407300,-0.0371
0407520,0.0270
0407570,0.0098
0407700,0.0095
0407750,0.0095
0407820,0.0326
0407890,0.0079
0408080,-0.0503
0408130,0.0097
0408170,-0.0294
0408280,0.0246
0408310,-0.0059
0408410,0.0222
0408490,-0.0493
0408550,-0.0568
0408600,-0.0045
0408680,0.0119
0408800,-0.0042
0408820,-0.0432
0408850,-0.0241
0409060,-0.0154
0409160,-0.0104
0409190,-0.0274
0409250,-0.0092
0409310,-0.0535
0409390,-0.0244
0409430,-0.0177
0409460,-0.0407
0409600,0.0035
0409733,-0.0330
0500001,0.0206
0500006,-0.0560
0500009,-0.0534
0500012,-0.0226
0500015,0.0048
0500016,0.0235
0500017,0.0098
0500019,-0.0095
0500023,0.0476
0500026,-0.0153
0500028,0.0328
0500029,0.0174
0500042,-0.0328
0500043,-0.0009
0500044,-0.0003
0500045,-0.0184
0500046,0.0390
0500047,0.0259
0500048,0.0329
0500049,0.0009
0500051,0.0470
0500065,-0.0451
0500067,0.0013
0500068,-0.0263
0500070,-0.0036
0500073,0.0313
0500079,-0.0116
0500082,-0.0336
0500405,0.0418
0502250,0.0099
0502430,-0.0254
