id,w_coh
22029,-0.0210
22031,0.1122
22033,0.0766
22037,0.1170
22039,0.0132
22041,0.0217
22043,0.0325
22045,0.0568
22047,0.0766
22049,-0.0887
22051,0.0709
22053,-0.0756
22055,0.0052
22057,0.1324
22059,0.0114
22061,0.0550
22063,0.0420
22067,-0.0827
22069,0.1171
22071,0.0248
22073,-0.0356
22075,0.0977
22077,-0.0171
22079,-0.0274
22081,-0.0942
22083,-0.0541
22085,-0.0761
22087,0.0445
22089,0.1254
22093,0.0099
22095,0.0141
22097,-0.0316
22099,-0.0059
22101,0.0538
22103,0.0301
22105,0.0030
22109,0.0436
22111,0.0633
22113,0.0528
22115,0.0173
22117,-0.0231
22119,0.0515
22121,0.0236
22123,-0.0545
22125,-0.0041
22127,0.0224
23001,0.0058
23003,-0.0030
23005,0.0121
23007,-0.0411
23009,0.0137
23011,0.0051
23013,-0.0200
23015,0.0136
23017,-0.0245
23019,-0.0128
23021,0.0133
23023,-0.0129
23025,0.0056
23027,-0.0078
23029,0.0056
23031,-0.0191
24001,-0.0162
24003,-0.0251
24005,-0.0191
24009,-0.0538
24011,-0.0541
24013,0.0435
24015,-0.0129
24017,0.0150
24019,-0.0337
24021,0.0518
24023,-0.0499
24025,0.1352
24027,-0.0431
24029,-0.0373
24031,-0.0320
24033,-0.0377
24035,-0.0016
24037,-0.0383
24039,-0.0249
24041,-0.0179
24043,-0.1052
24045,-0.0074
24047,-0.0214
24510,-0.0385
25001,-0.0406
25003,-0.0295
25005,0.0029
25007,-0.0331
25009,0.0127
25011,-0.0061
25013,0.0127
25015,0.0035
25017,0.0158
25019,-0.0155
25021,0.0040
25023,-0.0053
25025,0.0821
25027,-0.0001
26001,-0.0452
26003,0.0860
26005,0.0259
26007,0.0319
26009,-0.0081
26011,0.1007
26013,-0.0077
26015,0.0082
26017,-0.0218
26019,-0.0630
26021,0.0280
26023,0.0451
26025,-0.0104
26027,0.0544
26029,0.0679
26031,-0.0177
26033,0.0434
26035,0.0618
