id,h_avg
24009,0.7432
24011,0.0606
24013,0.4100
24015,-0.9242
24017,0.2412
24019,-1.3035
24021,-0.2148
24025,0.1160
24027,-0.0050
24031,-0.6443
24033,-1.2500
24035,-0.3711
24037,0.4411
24041,-1.0766
24043,-0.2080
24045,-0.8422
24047,0.8143
24510,-1.2175
25001,-0.0766
25003,-0.3736
25005,-0.6876
25007,0.6445
25009,-0.6612
25011,-0.5531
25013,-1.2523
25015,-0.3915
25017,-0.2361
25021,0.6597
25023,-0.3353
25025,-0.4644
25027,-0.8029
26005,-1.1024
26015,-0.9128
26017,-1.3401
26021,-0.8748
26023,-1.3657
26025,-1.4897
26027,-1.2472
26037,-0.4517
26045,-1.0066
26049,-0.9065
26055,-1.3026
26057,-1.0595
26065,-1.2909
26067,-1.3637
26073,-1.1924
26075,-1.2115
26077,-1.4530
26081,-1.4688
26087,-1.4009
26091,-1.1457
26093,-0.0526
26099,-0.9873
26105,-1.1575
26111,0.0609
26115,-1.1404
26117,-1.2778
26121,-1.5423
26123,-1.3916
26125,-0.8032
26127,-1.6811
26139,-0.8777
26145,-1.4447
26147,-1.1279
26149,-1.2628
26151,-0.6523
26155,-1.1524
26157,-0.9325
26159,-1.3674
26161,-0.3368
26163,-1.5631
27003,-0.5732
27013,-0.1699
27015,-0.6085
27019,-0.8291
27023,-2.1630
27027,-1.4772
27033,-0.8432
27037,-0.9491
27039,-0.7740
27043,-0.6187
27047,-1.0911
27049,-0.7713
27053,-1.3526
27067,-1.4833
27079,-1.1129
27083,-1.3045
27085,-1.1319
27099,-1.2860
27103,-0.6570
27105,-1.3724
27109,-1.1088
27111,-1.2385
27119,-1.1078
27123,-1.1850
27129,-1.3462
27131,-1.6079
27137,-0.4610
27139,-0.7270
27141,-0.1695
27143,-1.1337
27145,-1.4059
27147,-1.2439
27153,-1.9727
27161,-0.2886
27163,0.0663
27165,-1.5886
27169,-0.8488
27171,-0.4084
28003,-0.9244
28013,-1.2006
28033,-0.4868
