id,wa_grd
28033,-0.1378
28047,-0.1613
28059,-0.1232
28089,-0.1127
29019,-0.1162
29047,-0.1117
29077,-0.0961
29095,-0.0709
29099,-0.1561
29145,-0.0415
29165,-0.1021
29183,-0.1619
29189,-0.2049
29510,0.0021
31055,0.1356
31109,-0.0429
31153,-0.1269
32003,-0.1134
32031,-0.0468
33011,-0.1735
33015,-0.1226
34001,-0.1493
34003,-0.1903
34005,-0.1925
34007,-0.0961
34013,-0.1213
34015,-0.2316
34017,-0.1590
34019,-0.1526
34021,-0.2419
34023,-0.2411
34025,-0.2103
34027,-0.1612
34029,-0.1623
34031,-0.1054
34035,-0.2083
34037,-0.1757
34039,-0.1568
34041,-0.1653
35001,-0.0901
35013,-0.1317
35043,-0.1585
36001,-0.1857
36007,-0.0907
36027,-0.2049
36029,0.1089
36055,0.0019
36059,-0.1444
36061,-0.1012
36065,0.0252
36067,0.0978
36071,-0.1929
36087,-0.1457
36091,-0.2020
36093,0.0039
36103,-0.1652
36111,-0.1267
36119,-0.1081
37001,-0.1645
37021,-0.2260
37023,-0.2009
37025,-0.2416
37035,-0.1581
37049,-0.1496
37051,-0.1542
37057,-0.1366
37063,-0.0359
37067,-0.0852
37071,-0.2243
37081,-0.1209
37097,-0.2349
37119,-0.1041
37129,-0.0460
37133,-0.1379
37135,-0.2259
37151,-0.1697
37167,-0.1692
37179,-0.2061
37183,-0.1531
38017,0.1603
39017,-0.2226
39035,-0.1084
39041,-0.2177
39045,-0.0456
39049,-0.0190
39057,-0.0910
39061,-0.0301
39085,-0.0877
39093,-0.1413
39095,-0.2823
39099,-0.1596
39103,-0.1323
39113,-0.2302
39151,-0.1689
39153,0.1139
39165,-0.2459
39173,-0.2445
40017,-0.2019
40027,-0.2504
40031,-0.0467
40047,0.0989
40109,-0.1550
40143,-0.1366
41003,-0.2024
41005,-0.1409
41029,-0.1236
41039,-0.1257
41047,-0.1113
41051,-0.0590
41067,-0.1566
42003,-0.1599
42011,-0.1548
42017,-0.1466
42019,-0.1664
42027,-0.2187
42029,-0.1989
42041,-0.2080
42043,0.0573
42045,-0.1928
42049,0.3055
42069,0.0724
42071,-0.0613
42075,-0.0883
42077,-0.1853
